Wed Nov 30 03:59:26 2022    output.dat

         2990370 function calls (2984452 primitive calls) in 45.598 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1050    0.001    0.000    0.011    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pkg_resources\__init__.py:2067(dist_factory)
     1457    0.001    0.000    0.002    0.000 C:\Users\gffra\Documents\UFF\2022.2\ES2\war-es2-22-2\classes\Territory.py:39(loseTroops)
     1904    0.001    0.000    0.002    0.000 {built-in method builtins.max}
     5415    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
     9248    0.001    0.000    0.001    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\core\layered_gui_group.py:193(rect)
  1444/45    0.001    0.000    0.003    0.000 C:\Users\gffra\Documents\UFF\2022.2\ES2\war-es2-22-2\classes\GameMap.py:40(canMoveTroopsBetweenFriendlyTerriroriesAux)
     6124    0.001    0.000    0.001    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\ui_manager.py:320(get_mouse_position)
     1531    0.001    0.000    0.001    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame\sprite.py:834(sprites)
     1539    0.001    0.000    0.001    0.000 {built-in method builtins.iter}
       11    0.001    0.000    0.001    0.000 {built-in method io.open}
     5204    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
      205    0.001    0.000    0.057    0.000 C:\Users\gffra\Documents\UFF\2022.2\ES2\war-es2-22-2\classes\IA.py:61(best_attack)
      174    0.001    0.000    0.001    0.000 C:\Users\gffra\Documents\UFF\2022.2\ES2\war-es2-22-2\classes\Dealer.py:73(hasCardsToTrade)
        1    0.001    0.001    0.001    0.001 {method 'readlines' of '_io._IOBase' objects}
   237/60    0.001    0.000    0.031    0.001 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\sre_parse.py:435(_parse_sub)
      139    0.001    0.000    0.003    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\pathlib.py:56(parse_parts)
        1    0.001    0.001    0.001    0.001 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\core\surface_cache.py:17(__init__)
     4613    0.001    0.000    0.001    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\core\ui_element.py:920(get_image_clipping_rect)
     7861    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
     7308    0.001    0.000    0.001    0.000 C:\Users\gffra\Documents\UFF\2022.2\ES2\war-es2-22-2\classes\Dealer.py:51(<lambda>)
      542    0.001    0.000    0.002    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\genericpath.py:121(_splitext)
      471    0.001    0.000    0.002    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\copy.py:259(_reconstruct)
     4624    0.001    0.000    0.001    0.000 {method 'copy' of 'pygame.Rect' objects}
      161    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
     1641    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
      335    0.001    0.000    0.001    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:1144(__init__)
     1165    0.001    0.000    0.001    0.000 {built-in method sys.intern}
     7869    0.001    0.000    0.001    0.000 {built-in method _operator.index}
      482    0.001    0.000    0.001    0.000 {method 'search' of 're.Pattern' objects}
     3062    0.001    0.000    0.001    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\core\drawable_shapes\drawable_shape.py:426(has_fresh_surface)
      132    0.001    0.000    0.013    0.000 C:\Users\gffra\Documents\UFF\2022.2\ES2\war-es2-22-2\classes\IA.py:17(sort_bsr_ascendant)
     7366    0.001    0.000    0.001    0.000 {built-in method nt.fspath}
