Wed Nov 30 03:59:26 2022    output.dat

         2990370 function calls (2984452 primitive calls) in 45.598 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   602/60    0.004    0.000    0.010    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\sre_compile.py:71(_compile)
      589    0.000    0.000    0.000    0.000 C:\Users\gffra\Documents\UFF\2022.2\ES2\war-es2-22-2\classes\Territory.py:27(hasAliveTroops)
      589    0.001    0.000    0.014    0.000 C:\Users\gffra\Documents\UFF\2022.2\ES2\war-es2-22-2\classes\GameMap.py:83(rollDicesForAttackerAndDefender)
      589    0.004    0.000    0.005    0.000 C:\Users\gffra\Documents\UFF\2022.2\ES2\war-es2-22-2\classes\GameMap.py:96(getSuccessfullAttacks)
      589    0.006    0.000    0.144    0.000 C:\Users\gffra\Documents\UFF\2022.2\ES2\war-es2-22-2\classes\GameMap.py:108(attackEnemyTerritory)
      584    0.000    0.000    0.000    0.000 C:\Users\gffra\Documents\UFF\2022.2\ES2\war-es2-22-2\classes\Territory.py:30(colonize)
      582    0.000    0.000    0.000    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pkg_resources\_vendor\packaging\version.py:420(_parse_letter_version)
      542    0.001    0.000    0.003    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\ntpath.py:203(splitext)
      542    0.001    0.000    0.002    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\genericpath.py:121(_splitext)
      530    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      530    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      525    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      491    0.000    0.000    0.004    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\ntpath.py:221(dirname)
      491    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      486    0.000    0.000    0.003    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pkg_resources\__init__.py:2344(_normalize_cached)
      482    0.002    0.000    0.005    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pkg_resources\_vendor\packaging\version.py:271(__init__)
      482    0.001    0.000    0.001    0.000 {method 'search' of 're.Pattern' objects}
      477    0.000    0.000    0.000    0.000 C:\Users\gffra\Documents\UFF\2022.2\ES2\war-es2-22-2\classes\IA.py:62(<lambda>)
      471    0.000    0.000    0.000    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\copyreg.py:100(__newobj__)
      471    0.001    0.000    0.005    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:1167(copy)
      471    0.001    0.000    0.004    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\copy.py:66(copy)
      471    0.001    0.000    0.002    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\copy.py:259(_reconstruct)
      471    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
      468    0.000    0.000    0.000    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:2153(__str__)
      462    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
      417    0.001    0.000    0.001    0.000 C:\Users\gffra\Documents\UFF\2022.2\ES2\war-es2-22-2\classes\GameMap.py:31(getFriendlyTerritoryNeighbours)
      410    0.003    0.000    0.041    0.000 C:\Users\gffra\Documents\UFF\2022.2\ES2\war-es2-22-2\classes\Game.py:210(onEvent)
      410    0.006    0.000    0.017    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\ui_manager.py:192(process_events)
      410    0.001    0.000    0.001    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\elements\ui_button.py:321(process_event)
      410    0.000    0.000    0.000    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\elements\ui_selection_list.py:394(process_event)
      408    0.000    0.000    0.000    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pkg_resources\_vendor\packaging\version.py:76(<lambda>)
      408    0.000    0.000    0.001    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pkg_resources\_vendor\packaging\version.py:74(__lt__)
      407    0.000    0.000    0.000    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3581(<genexpr>)
      407    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      394    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      388    0.000    0.000    0.000    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pkg_resources\_vendor\packaging\version.py:314(<genexpr>)
      387    0.000    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      382    0.000    0.000    0.009    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pkg_resources\_vendor\packaging\version.py:48(parse)
      381    0.000    0.000    0.005    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame\sysfont.py:48(_simplename)
      380    0.000    0.000    0.000    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame\sysfont.py:54(_addfont)
      380    0.002    0.000    0.007    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame\sysfont.py:119(_parse_font_entry_win)
   365/62    0.012    0.000    0.030    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\sre_parse.py:493(_parse)
      364    0.000    0.000    0.000    0.000 C:\Users\gffra\Documents\UFF\2022.2\ES2\war-es2-22-2\classes\IA.py:19(<lambda>)
      354    0.003    0.000    0.003    0.000 {built-in method winreg.EnumValue}
      340    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
      339    0.000    0.000    0.000    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:2159(streamline)
      338    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      337    0.001    0.000    0.001    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame\sprite.py:429(add)
      335    0.001    0.000    0.001    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:1144(__init__)
      332    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      329    0.000    0.000    0.000    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pkg_resources\__init__.py:2635(key)
      329    0.035    0.000    0.035    0.000 {method 'fill' of 'pygame.Surface' objects}
      326    0.000    0.000    0.000    0.000 C:\Users\gffra\Documents\UFF\2022.2\ES2\war-es2-22-2\classes\IA.py:114(<lambda>)
      318    0.001    0.000    0.001    0.000 {built-in method _thread.allocate_lock}
